reference_time,target_time,kind,covariate_source,issued_at,model_id,code_version,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-08-01 10:00:00+00:00,2026-08-03 14:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.998344,20.015558,21.175262,21.894997,22.614729,23.774435,24.791649,12.891096,17.832035,24.049103,28.10954,32.169983,38.387047,43.327988,996.6631,1002.89954,1009.6741,1013.77264,1017.87115,1024.6458,1030.8822
2026-08-01 10:00:00+00:00,2026-08-03 15:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.031145,20.084784,21.287338,22.034096,22.780855,23.98341,25.037048,12.88261,17.712767,23.784277,27.747608,31.710941,37.78245,42.61261,996.18964,1002.52466,1009.3636,1013.4874,1017.6112,1024.4502,1030.7853
2026-08-01 10:00:00+00:00,2026-08-03 16:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.113398,20.174742,21.394333,22.154364,22.914394,24.133986,25.195328,12.643775,17.35617,23.263365,27.11401,30.964655,36.87185,41.584244,995.9341,1002.2245,1009.09204,1013.25793,1017.42377,1024.2914,1030.5818
2026-08-01 10:00:00+00:00,2026-08-03 17:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.135834,20.20172,21.428942,22.194513,22.960085,24.187305,25.253193,12.447292,16.99422,22.662445,26.346825,30.031204,35.699425,40.24636,995.84143,1002.19354,1009.12897,1013.3362,1017.54333,1024.4788,1030.8309
2026-08-01 10:00:00+00:00,2026-08-03 18:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.110506,20.182856,21.416468,22.185682,22.954897,24.188509,25.260859,12.145337,16.514782,21.975788,25.530148,29.084507,34.54551,38.914963,995.9943,1002.37427,1009.3026,1013.4936,1017.6845,1024.6129,1030.9928
2026-08-01 10:00:00+00:00,2026-08-03 19:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.078674,20.149605,21.39424,22.17448,22.954723,24.199356,25.270287,11.867642,16.024965,21.197832,24.557014,27.916199,33.089066,37.24639,996.3915,1002.8122,1009.8295,1014.08875,1018.34796,1025.3654,1031.786
2026-08-01 10:00:00+00:00,2026-08-03 20:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.0039,20.070278,21.306702,22.08084,22.854979,24.0914,25.15778,11.652205,15.555206,20.398361,23.539032,26.679703,31.522858,35.425858,996.7921,1003.22076,1010.2379,1014.4942,1018.7504,1025.7676,1032.1963
2026-08-01 10:00:00+00:00,2026-08-03 21:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.894093,19.932892,21.144482,21.905413,22.666346,23.877935,24.916735,11.20371,14.900648,19.469912,22.426937,25.383965,29.953228,33.65017,997.1102,1003.6673,1010.78314,1015.08594,1019.38873,1026.5046,1033.0616
2026-08-01 10:00:00+00:00,2026-08-03 22:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.695972,19.738705,20.950983,21.711075,22.471169,23.683445,24.72618,10.734225,14.278218,18.622475,21.421995,24.221516,28.565771,32.109768,997.8353,1004.3011,1011.31525,1015.5557,1019.79614,1026.8103,1033.2761
2026-08-01 10:00:00+00:00,2026-08-03 23:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.56385,19.590702,20.77626,21.516912,22.257565,23.443121,24.469975,10.462326,13.847248,17.953321,20.585136,23.21695,27.32302,30.707947,998.1925,1004.6503,1011.67365,1015.92535,1020.177,1027.2003,1033.6582
